,i,t,m,women,girls,boys,men,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
5360,238612,2019,fatick,1,1,0,3,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1.609437912
5361,23862,2019,fatick,2,1,2,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1.609437912
5362,23863,2019,fatick,1,2,3,3,0,1,2,0,1,1,1,0,1,0,1,1,0,0,2.197224577
5363,23864,2019,fatick,2,3,0,2,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1.945910149
5364,23865,2019,fatick,4,1,5,2,0,1,2,0,3,0,0,0,1,2,1,1,0,1,2.48490665
5365,23866,2019,fatick,2,3,2,1,0,1,2,0,0,1,0,1,0,1,0,1,1,0,2.079441542
5366,23867,2019,fatick,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.6931471806
5367,23868,2019,fatick,3,0,1,3,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1.945910149
5368,23869,2019,fatick,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1.386294361
5369,2387,2019,dakar,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1.098612289
5370,2388,2019,dakar,5,2,3,6,1,1,0,1,1,0,1,1,2,3,4,1,0,0,2.772588722
5371,23881,2019,fatick,5,5,6,4,1,0,1,1,2,1,2,3,2,0,0,3,2,2,2.995732274
5372,238810,2019,fatick,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1.098612289
5373,238811,2019,fatick,4,2,2,0,1,0,0,1,1,1,0,0,0,3,0,0,0,1,2.079441542
5374,238812,2019,fatick,3,3,2,1,0,1,1,1,0,1,1,0,1,0,0,2,0,1,2.197224577
5375,23882,2019,fatick,1,2,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1.386294361
5376,23883,2019,fatick,2,2,2,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1.945910149
5377,23884,2019,fatick,2,0,3,1,0,0,2,0,1,0,0,0,0,1,0,1,1,0,1.791759469
5378,23885,2019,fatick,4,1,3,0,0,0,0,0,0,1,3,0,0,2,0,1,0,1,2.079441542
5379,23886,2019,fatick,2,3,2,3,1,1,1,1,0,1,0,0,1,0,1,2,1,0,2.302585093
5380,23887,2019,fatick,2,2,3,0,0,1,0,0,2,0,1,1,0,1,0,1,0,0,1.945910149
5381,23888,2019,fatick,1,2,0,2,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1.609437912
5382,23889,2019,fatick,1,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1.386294361
5383,2389,2019,dakar,3,1,4,3,0,0,1,1,3,0,0,0,2,1,1,1,0,1,2.397895273
5384,23911,2019,fatick,1,2,3,1,0,1,2,0,0,1,1,0,0,0,1,1,0,0,1.945910149
5385,239110,2019,fatick,1,2,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1.609437912
5386,239111,2019,fatick,5,4,9,4,3,1,4,1,0,2,2,0,2,3,1,1,1,1,3.091042453
5387,239112,2019,fatick,1,3,0,2,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1.791759469
5388,23912,2019,fatick,3,6,4,3,1,2,2,1,1,3,0,0,3,2,0,1,0,0,2.772588722
5389,23913,2019,fatick,8,14,14,3,2,5,10,5,1,3,1,1,0,5,3,2,0,1,3.663561646
5390,23914,2019,fatick,1,1,3,2,0,1,0,0,2,0,1,0,1,1,0,0,1,0,1.945910149
5391,23915,2019,fatick,1,1,2,1,0,0,0,0,0,1,2,0,1,0,0,0,0,1,1.609437912
5392,23916,2019,fatick,2,0,2,1,2,0,0,0,0,0,0,0,0,1,1,1,0,0,1.609437912
5393,23917,2019,fatick,5,8,8,4,2,0,4,5,1,2,1,1,1,2,2,2,1,1,3.218875825
5394,23918,2019,fatick,4,8,4,4,1,3,2,0,1,4,0,1,1,1,2,2,1,1,2.995732274
5395,23919,2019,fatick,4,3,5,2,1,0,2,2,2,1,0,0,0,1,0,1,2,2,2.63905733
5396,23931,2019,fatick,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
5397,239310,2019,fatick,1,1,0,3,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1.609437912
5398,239311,2019,fatick,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1.098612289
5399,239312,2019,fatick,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
5400,23932,2019,fatick,1,2,1,2,0,0,0,0,1,0,0,2,1,0,0,1,1,0,1.791759469
5401,23933,2019,fatick,2,4,3,1,0,0,2,2,1,2,0,0,0,0,0,1,1,1,2.302585093
5402,23934,2019,fatick,3,2,0,1,0,2,0,0,0,0,0,0,0,2,0,0,1,1,1.791759469
5403,23935,2019,fatick,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1.098612289
5404,23936,2019,fatick,2,1,2,1,0,0,2,0,0,1,0,0,0,0,0,1,1,1,1.791759469
5405,23937,2019,fatick,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
5406,23938,2019,fatick,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1.098612289
5407,23939,2019,fatick,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1.386294361
5408,23951,2019,fatick,2,3,5,2,1,0,0,2,4,0,0,1,1,0,0,2,1,0,2.48490665
5409,239510,2019,fatick,1,3,3,1,0,0,2,0,0,3,1,0,0,1,0,0,1,0,2.079441542
5410,239511,2019,fatick,1,3,4,1,1,0,1,1,1,2,1,0,0,0,0,1,1,0,2.197224577
5411,239512,2019,fatick,1,4,2,1,0,1,0,2,1,1,1,0,0,0,1,1,0,0,2.079441542
5412,23952,2019,fatick,5,2,3,3,0,1,1,0,2,1,0,0,1,2,1,2,1,1,2.564949357
5413,23953,2019,fatick,3,3,1,1,0,1,0,1,0,1,1,0,0,2,0,0,1,1,2.079441542
5414,23954,2019,fatick,3,0,5,2,1,0,0,0,2,0,2,0,1,1,0,1,1,1,2.302585093
5415,23955,2019,fatick,1,4,0,2,0,0,0,0,0,2,1,2,0,0,0,0,1,1,1.945910149
5416,23956,2019,fatick,3,5,2,1,0,1,2,1,0,2,0,1,0,1,0,1,1,1,2.397895273
5417,23957,2019,fatick,5,6,4,6,1,1,1,1,0,2,2,2,3,2,1,2,2,1,3.044522438
5418,23958,2019,fatick,2,1,4,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1.945910149
5419,23959,2019,fatick,1,3,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,1.386294361
5420,23971,2019,fatick,1,3,3,1,0,0,1,1,2,1,0,1,0,0,1,1,0,0,2.079441542
5421,239710,2019,fatick,1,2,4,0,0,1,1,0,2,0,1,1,0,0,0,1,0,0,1.945910149
5422,239711,2019,fatick,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1.098612289
5423,239712,2019,fatick,1,1,5,1,2,0,0,0,3,0,0,1,0,1,1,0,0,0,2.079441542
5424,23972,2019,fatick,1,3,1,1,0,0,0,1,1,2,0,0,0,0,0,1,1,0,1.791759469
5425,23973,2019,fatick,3,6,5,0,2,1,0,3,3,1,0,1,0,0,0,2,0,1,2.63905733
5426,23974,2019,fatick,1,1,5,2,1,0,0,1,3,0,1,0,1,0,1,0,0,1,2.197224577
5427,23975,2019,fatick,4,3,5,4,1,0,2,0,1,1,2,2,2,1,0,1,1,2,2.772588722
5428,23976,2019,fatick,1,0,3,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1.386294361
5429,23977,2019,fatick,3,4,1,3,0,2,0,0,1,1,1,1,1,1,0,0,1,2,2.397895273
5430,23978,2019,fatick,2,3,5,2,0,0,3,0,0,2,2,1,1,0,0,1,1,1,2.48490665
5431,23979,2019,fatick,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.6931471806
5432,23991,2019,fatick,4,7,5,1,1,0,1,2,1,3,2,2,0,1,0,1,1,2,2.833213344
5433,239910,2019,fatick,4,5,8,2,0,1,1,1,2,3,5,0,1,1,0,3,1,0,2.944438979
5434,239911,2019,fatick,2,3,5,1,1,0,1,2,2,1,1,0,0,1,1,1,0,0,2.397895273
5435,239912,2019,fatick,2,1,1,2,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1.791759469
5436,23992,2019,fatick,2,5,1,0,0,1,1,2,0,1,0,1,0,1,0,1,0,0,2.079441542
5437,23993,2019,fatick,2,2,3,1,1,1,2,0,0,1,0,0,0,0,0,2,1,0,2.079441542
5438,23994,2019,fatick,2,2,2,2,0,1,0,1,2,0,0,0,1,1,1,1,0,0,2.079441542
5439,23995,2019,fatick,3,7,2,0,1,1,0,3,1,1,0,2,0,2,0,0,0,1,2.48490665
5440,23996,2019,fatick,5,6,1,2,0,2,0,2,1,1,0,1,0,3,2,1,0,1,2.63905733
5441,23997,2019,fatick,1,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1.386294361
