i,t,m,women,girls,boys,men,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
2384,2019,dakar,5,3,2,6,0,0,2,0,0,2,0,1,2,1,3,4,1,0,2.772588722
23841,2019,fatick,1,1,3,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1.791759469
238410,2019,fatick,3,2,2,0,0,1,1,0,1,1,0,0,0,2,0,1,0,0,1.945910149
238411,2019,fatick,1,2,4,2,0,1,1,0,1,1,3,0,1,1,0,0,0,0,2.197224577
238412,2019,fatick,4,3,3,3,1,1,1,1,0,0,1,1,1,3,1,0,1,1,2.564949357
23842,2019,fatick,2,3,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,1.609437912
23843,2019,fatick,4,1,2,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1.945910149
23844,2019,fatick,2,3,1,1,0,1,0,2,1,0,0,0,0,1,0,1,1,0,1.945910149
23845,2019,fatick,3,2,2,0,0,1,0,1,0,0,2,0,0,1,0,1,0,1,1.945910149
23846,2019,fatick,1,5,2,2,0,0,0,1,2,2,0,2,1,0,1,0,0,1,2.302585093
23847,2019,fatick,4,2,0,1,0,0,0,1,0,1,0,0,0,3,0,1,1,0,1.945910149
23848,2019,fatick,2,2,3,3,0,0,1,1,1,0,1,1,2,0,1,2,0,0,2.302585093
23849,2019,fatick,1,1,2,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1.609437912
2385,2019,dakar,1,0,2,2,0,0,0,0,1,0,1,0,2,0,0,1,0,0,1.609437912
2386,2019,dakar,4,0,2,1,0,0,1,0,0,0,1,1,0,2,0,1,1,0,1.945910149
23861,2019,fatick,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
238610,2019,fatick,6,3,9,4,2,1,2,0,4,2,1,0,1,1,2,4,1,1,3.091042453
238611,2019,fatick,1,2,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1.609437912
238612,2019,fatick,1,1,0,3,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1.609437912
23862,2019,fatick,2,1,2,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1.609437912
23863,2019,fatick,1,2,3,3,0,1,2,0,1,1,1,0,1,0,1,1,0,0,2.197224577
23864,2019,fatick,2,3,0,2,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1.945910149
23865,2019,fatick,4,1,5,2,0,1,2,0,3,0,0,0,1,2,1,1,0,1,2.48490665
23866,2019,fatick,2,3,2,1,0,1,2,0,0,1,0,1,0,1,0,1,1,0,2.079441542
23867,2019,fatick,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.6931471806
23868,2019,fatick,3,0,1,3,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1.945910149
23869,2019,fatick,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1.386294361
2387,2019,dakar,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1.098612289
2388,2019,dakar,5,2,3,6,1,1,0,1,1,0,1,1,2,3,4,1,0,0,2.772588722
23881,2019,fatick,5,5,6,4,1,0,1,1,2,1,2,3,2,0,0,3,2,2,2.995732274
238810,2019,fatick,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1.098612289
238811,2019,fatick,4,2,2,0,1,0,0,1,1,1,0,0,0,3,0,0,0,1,2.079441542
238812,2019,fatick,3,3,2,1,0,1,1,1,0,1,1,0,1,0,0,2,0,1,2.197224577
23882,2019,fatick,1,2,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1.386294361
23883,2019,fatick,2,2,2,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1.945910149
23884,2019,fatick,2,0,3,1,0,0,2,0,1,0,0,0,0,1,0,1,1,0,1.791759469
23885,2019,fatick,4,1,3,0,0,0,0,0,0,1,3,0,0,2,0,1,0,1,2.079441542
23886,2019,fatick,2,3,2,3,1,1,1,1,0,1,0,0,1,0,1,2,1,0,2.302585093
23887,2019,fatick,2,2,3,0,0,1,0,0,2,0,1,1,0,1,0,1,0,0,1.945910149
23888,2019,fatick,1,2,0,2,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1.609437912
23889,2019,fatick,1,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1.386294361
2389,2019,dakar,3,1,4,3,0,0,1,1,3,0,0,0,2,1,1,1,0,1,2.397895273
23911,2019,fatick,1,2,3,1,0,1,2,0,0,1,1,0,0,0,1,1,0,0,1.945910149
239110,2019,fatick,1,2,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1.609437912
239111,2019,fatick,5,4,9,4,3,1,4,1,0,2,2,0,2,3,1,1,1,1,3.091042453
239112,2019,fatick,1,3,0,2,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1.791759469
23912,2019,fatick,3,6,4,3,1,2,2,1,1,3,0,0,3,2,0,1,0,0,2.772588722
23913,2019,fatick,8,14,14,3,2,5,10,5,1,3,1,1,0,5,3,2,0,1,3.663561646
23914,2019,fatick,1,1,3,2,0,1,0,0,2,0,1,0,1,1,0,0,1,0,1.945910149
23915,2019,fatick,1,1,2,1,0,0,0,0,0,1,2,0,1,0,0,0,0,1,1.609437912
